세부사업명,주요내용,분야,학생 여부,소득 기준,취약계층사업 여부,취약계층 유형,취창업 여부,연령구분 여부,연령 구분,지원형태,관련 법령, 예산(천원) 
저소득 청년 자산형성 지원 (청년희망키움통장),"ㅇ (목적) 저소득 근로청년 자산형성 지원ㅇ (대상) 생계급여 수급 가구 근로청년(15~39세)ㅇ (주요내용) 10만원 저축시, 일정비율의 근로소득장려금 매칭 지원ㅇ (전달체계) 복지부→지자체→한국자활복지개발원→통장 적립",주거,학생여부무관,저소득,취약계층,저소득,취업청년,연령구분,15~39세,현금성지원,｢국민기초생활보장법｣ 제18조의8(자산형성지원),346
전세피해 임차인 종합지원 (전세피해 임차인 민간주택 월세 지원사업),ㅇ (목적) 전세피해임차인들의 실질적 주거지원방안 마련ㅇ (대상) 특별법상 전세사기피해결정자등ㅇ (주요내용) 민간주택 신규이주 전세피해임차인(무주택자)에게 월 40만원한도 실비 지원,주거,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,현금성지원,,1782
전세피해 임차인 종합지원 (전세피해 임차인 버팀목 전세자금 대출이자 지원사업),ㅇ (목적) 전세피해임차인들의 실질적 주거지원방안 마련ㅇ (대상) 특별법상 전세사기피해결정자등ㅇ (주요내용) 전세피해임차인버팀목대출 실행자에게 대출이자 전액지원(세대당 월 40만원 한도),주거,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,현금성지원,,1318
전세피해 임차인 종합지원 (전세피해 임차인 이주비 지원사업),ㅇ (목적) 전세피해임차인들의 실질적 주거지원방안 마련ㅇ (대상) 특별법상 전세사기피해결정자등ㅇ (주요내용) 1회 이주비 150만원 정액지원,주거,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,현금성지원,,1500
전세피해지원센터 운영사업,"ㅇ (목적) 전세피해임차인 법률 및 심리 지원 등ㅇ (대상) 전세피해임차인ㅇ (주요내용) 법률상담 지원, 금융주거지원 안내ㅇ (전달체계) 부산시전세피해지원센터(부산시 직접운영)",주거,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형, 「전세사기피해자 지원 및 주거안정에 관한 특별법」제11조,168
조선해양플랜트산업 기능인력 양성,ㅇ (목적)부산 핵심 전략산업인 조선해양플랜트산업 분야 기능인력 양성 및 산학협력체계 구축ㅇ (대상)해운대공업고등학교 재학생ㅇ (주요내용)선급 용접 자격증 취득 등 조선업 현장 기능인력 양성ㅇ (전달체계)부산시→해운대공업고등학교,교육,학생,소득무관,무관,무관,취창업무관,연령구분,16세~18세,서비스지원,"부산광역시 전략산업 육성에 관한 조례 제4조, 제7조",108
주거복지센터 운영 (청년 주거상담),"ㅇ (목적) 주거상담 및 정보제공 등 주거복지 전달체계 구축ㅇ (대상) 부산시민(청년 포함)ㅇ (주요내용) 주거상담, 정보제공, 주거복지 관련사업 추진ㅇ (위탁기관) 부산도시공사(공공기관 위탁) ",주거,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,주거기본법 제22조부산광역시 주거기본조례 제15조,560
지역주도형 청년일자리 사업,"ㅇ (목적)청년에게 적합한 지역일자리 발굴 제공하여 자산형성이 가능한 수준의 소득을 창출하는 지속하는 경제활동 지원ㅇ (대상)만39세이하 청년ㅇ (주요내용)총130개사업, 2,058명지원 목표, 청년 인건비, 직무교육, 취창업지원 등ㅇ (전달체계)행안부→부산시→기업 등",일자리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,행정안전부 지역주도형일자리사업 지침(19~39),혼합형,행정안전부 「지역주도형 청년일자리 사업」 지침,16732
지역혁신중심 대학지원 체계 구축 기본계획 연구 용역,"ㅇ (목적) 지역인재양성-취창업-정주 선순환 생태계 구축ㅇ (대상) 22개대학, 산업체, 혁신기관 등ㅇ (주요내용) 지역산업 육성, 지역인재 정주 등을 위한 지역-대학협력 방안",교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,제도운영,,300
지자체-대학 협력기반 지역혁신사업 (RIS),"ㅇ (목적) 지자체와 대학 간 협력 기반 지역혁신체계 구축,     인재양성-취창업-지역정주의 지역발전 선순환 체계 구축ㅇ (대상) 학생(중심대학(3), 참여대학(18)), 기타(고교생, 재직자 등)ㅇ (주요내용)지자체-대학-지역혁신기관간 플랫폼 구축, 대학과     지역산업 간 연계·협력 통한 핵심분야 교육체계 개편 및     인재양성·기술혁신·기업지원 등 과제수행ㅇ (전달체계) 부산시→부산테크노파크(공공기관 위탁)",교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형,"지방대학 및 지역균형인재 육성에 관한 법률, 부산광역시 지산학 협력 촉진에 관한 조례 등",45376
직업능력개발훈련,"ㅇ (목적) 직업훈련을 통한 실업해소 및 지역 산업체에 안정적 인력공급ㅇ (대상) 18세 이상 부산 거주 구직자ㅇ (주요내용) 직종별 맞춤형 직업훈련 및 취업지원ㅇ (전달체계) 부산시→부산여성가족과 평생교육진흥원→민간 직업훈련기관, 대학 등",교육,학생여부무관,소득무관,무관,무관,취업준비,연령구분,18세 이상,혼합형,국민 평생 직업능력 개발법 제12조,3500
창업공간100 운영,"ㅇ (목적) 창업지원주택 입주자 및 지역 창업기업에 사무공간, 편의시설 제공 및 교류의 장 활성화로 지역 창업기업 안정적 사업화 도모ㅇ (대상) 지역 예비~ 7년 이내 창업기업ㅇ (주요내용) 입주공간 제공, 분야별 전문 컨설팅 및 사업화 지원, 커뮤니티 프로그램 등ㅇ (전달체계)  부산시 → 부산테크노파크(공기관)",일자리,학생여부무관,소득무관,무관,무관,예비창업청년,연령무관,연령무관,혼합형,부산광역시 기술창업 지원 조례 제8조,190
창업보육센터 지원,"ㅇ (목적) 지역 초기 창업기업(예비~3년) 입주공간 및 체계적 보육 지원으로 지역 유망 기술기업 자립 기반조성 및 지역 경제발전 기여ㅇ (대상) 예비창업자~창업 3년 이내 초기 창업기업ㅇ (주요내용) 입주공간 제공, 시제품 제작, 지재권 등록, 분야별 컨설팅 등 제공ㅇ (전달체계) 부산시 → 14개 창업보육센터(민간보조)",일자리,학생여부무관,소득무관,무관,무관,예비창업청년,연령무관,연령무관,혼합형,"중소기업창업 지원법 제7조,부산광역시 기업인예우 및 기업활동 촉진에 관한 조례 제10조",1145
창업중심대학 지원,"ㅇ (목적) 우수한 창업 인프라 및 협업 네트워크를 갖춘 대학을 통해 지역 청년창업 확산 및 성장단계별 창업사업화 지원ㅇ (대상) 예비,초기,도약기 창업자ㅇ (주요내용) 창업 성장 단계별(예비,초기,도약) 창업사업화 자금 및 창업프로그램 지원ㅇ (전달체계) 중소벤처기업부 → 부산시 → 부산대학교 창업지원단",일자리,학생여부무관,소득무관,무관,무관,예비창업청년,연령무관,연령무관,혼합형,중소기업창업 지원법 제10조,8000
창의융합형 공학인재양성 지원사업,"ㅇ (목적) 신산업, 신기술 및 지역특화 공학교육을 통한 국가기술 향상 및 이공계 경쟁력을 확보하고 산업계 수요에 대응한 현장맞춤형 실무인력 양성ㅇ (대상) 부산대·부경대·동명대·동서대 재학생ㅇ (주요내용) 지역 산업체 연계 R&D 활성화를 위한 캡스톤 디자인 프로그램 운영 및 신산업 수요 대응 특화 교육사업 중점 추진ㅇ (전달체계) 부산시→부산대(주관), 부경대·동명대·동서대(참여)",교육,학생,소득무관,무관,무관,취업준비,연령무관,연령무관,서비스지원,산업기술혁신 촉진법,1939
청끌기업발굴 및 매칭 지원,"ㅇ (목적) 청년이 원하는 기업 발굴, 지원으로 양질의 일자리     제공 및 미스매치 해소 완화ㅇ (대상) 지역 중소,중견기업 100개사, 청년인재 매칭 지원ㅇ (주요내용) 청끌기업 100개사를 발굴, 선정, 홍보마케팅 지원, 기업    - 대학 찾아가는 설명회 개최, 성장촉진 네트워크 개최, 청년인재     매칭 지원 등ㅇ (전달체계) 부산시→부산경제진흥원",일자리,학생여부무관,소득무관,무관,무관,취창업무관,연령구분,부산광역시청년기본조례(18~39),혼합형,부산광역시 청년일자리 창출 지원 조례,180
청년 리빙랩 운영,"ㅇ (목적) 청년의 생활 속 문제인식 및 문제 해결ㅇ (대상) 부산지역 청년ㅇ (주요내용) 생활실험 프로젝트, 아카데미 운영, 띵두(리빙랩 공간) 운영 등ㅇ (전달체계) 부산시 → (재)부산경제진흥원",참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시 청년기본조례(18~39),제도운영,부산광역시 청년 기본 조례,100
청년 마음이음 사업,"ㅇ (목적) 일자리 및 주거불안 등으로 심리적 어려움을 겪고 있는 청년에게 맞춤형 상담을 지원하여 사회진입 촉진 및 생활안정 도모ㅇ (대상) 부산지역 청년(18~39세)ㅇ (주요내용) 전문상담 연계1:1 심리상담, 마음치유 프로그램 등ㅇ (전달체계) 부산시→(재)부산경제진흥원",복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례 (18~39세),서비스지원,부산광역시 청년 기본 조례,400
청년 맞춤형 민간 임대주택 공급(부산희망더함주택),ㅇ (목적) 청년층 및 주거취약계층에게 공공임대주택 공급ㅇ (대상) 청년 및 주거취약 전 계층ㅇ (주요내용) 공공임대주택 건설ㅇ (전달체계) 부산도시공사 시행,주거,학생여부무관,저소득,취약계층,저소득,취창업무관,청년연령,19세~39세 이하,인프라지원,민간임대주택에 관한 특별법부산광역시 희망더함주택 공급 지원에 관한 조례,400
청년 사회진입 활동비 지원 사업,"ㅇ (목적) 미취업 청년들이 경제적 부담감 없이 취창업 활동에만 전념할 수 있는 여건을 조성하여, 청년들의 사회진입 촉진 유도ㅇ (대상) 부산 거주 미취업 청년(18~39세)으로 가구소득이 기준중위소득 150% 이하에 해당하는 자ㅇ (주요내용) 미취업 청년에 대한 취창업 활동비 지원을 통한 사회진입 촉진ㅇ (전달체계) 부산시→(재)부산경제진흥원",일자리,비학생,저소득,취약계층,저소득,취업준비,청년연령,부산광역시청년기본조례 (18~39세),현금성지원,청년고용촉진특별법부산광역시 청년 기본 조례,1982
청년 신용회복지원,"ㅇ (목적)청년의 부채문제 해소, 경제적 자립 지원ㅇ (대상) 부산거주 18~39세 청년ㅇ (주요내용) 전문 재무관리 상담, 채무조정 및 연체예방비용 지원, 맞춤형 교육 등ㅇ (전달체계) 부산시 → 부산신용보증재단(공공기관위탁)",복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,,400
청년 어촌 정착지원,"ㅇ (목적) 청년어업인 영어자금지원으로 정착지원ㅇ (대상) 만18~만40세 어업경력 3년이하 ㅇ (주요내용) 영어 창업, 정착 비용지원ㅇ (전달체계) 해양수산부→부산광역시→기초지자체",일자리,비학생,소득무관,무관,무관,예비창업청년,연령구분,만 18세~만40세,현금성지원,귀농어·귀촌 활성화 및 지원에 관한 법률 제7조,37
청년 임차보증금 이자 지원,"ㅇ (목적) 목돈마련이 어려운 청년(대학생, 취준생, 직장인)의 주거비 경감ㅇ (대상) 부산지역 청년ㅇ (주요내용) 임차보증금 대출이자 지원ㅇ (전달체계)부산시→부산은행",주거,학생여부무관,저소득,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),현금성지원,부산광역시 청년 기본 조례,1600
청년 자산형성지원 (부산청년 기쁨두배 통장),"ㅇ (목적) 소득이 불안정한 청년에게 저축기회 부여 및 자립기반 마련을 위한 자산형성지원사업ㅇ (대상) 부산거주 18~34세 근로 청년, 매년 4,000명ㅇ (주요내용) 청년 저축액 대비 1:1 시비 매칭, 금융교육 등ㅇ (전달체계) 부산시 → 부산경제진흥원(공공기관위탁)",복지문화,학생여부무관,저소득,취약계층,저소득,취창업무관,청년연령,부산광역시청년기본조례(18~39),현금성지원,,20500
청년 전세보증금 반환보증 보증료 지원,"ㅇ (목적) 전세사기 피해예방을 위해 전세보증금반환보증 보험료 지원을 통한 보증보험 가입 유도ㅇ (대상) 부산거주 18~39세 무주택 청년, 소득 5천만원이하(신혼부부 7천만원), 임차보증금 3억원이하ㅇ (주요내용) 반환보증 보험료 전액지원(최대30만원)ㅇ (전달체계) 부산시 직접사업",주거,학생여부무관,저소득,취약계층,저소득,취창업무관,청년연령,부산광역시청년기본조례(18~39),현금성지원,,600
청년 주택 공급 확대 (매입임대 주택),ㅇ (목적) 기존주택을 매입하여 청년 및 주거취약계층에게 저렴하게 공급ㅇ (대상) 청년 및 주거취약계층ㅇ (주요내용) 기존주택 매입 및 공급ㅇ (전달체계) 부산도시공사 시행,주거,학생여부무관,저소득,취약계층,저소득,취창업무관,청년연령,19~39세 이하,인프라지원,기존주택 매입임대 업무처리 지침,
청년 주택 공급 확대 (행복주택 및 통합공공임대주택),ㅇ (목적) 청년층 및 주거취약계층에게 공공임대주택 공급ㅇ (대상) 청년 및 주거취약 전 계층ㅇ (주요내용) 공공임대주택 건설ㅇ (전달체계) 부산도시공사 시행,주거,학생여부무관,저소득,취약계층,저소득,취창업무관,청년연령,19세~39세 이하,인프라지원,공공주택 특별법,473
청년 커뮤니티 활동 지원,ㅇ (목적)청년들의 자발적 활동 여건 조성 및 사회참여 역량 강화ㅇ (대상)5인 이상의 청년으로 구성된 커뮤니티(18세~39세)ㅇ (주요내용)청년 커뮤니티 활동 지원 및 네트워킹 활성화ㅇ (전달체계)부산시 → (재)부산경제진흥원,참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례 (18~39세),혼합형,부산광역시 청년 기본 조례,140
청년 프로그램 지원,ㅇ (목적) 청년단체 등 민간이 참여하는 다양한 청년 프로그램을 구·군을 대상으로 공모·선정하여 지원함으로써 청년의 주도적인 사회 참여 및 역량을 강화하기 위한 사업ㅇ (대상) 자치구군(청년단체 등 민간과 컨소시엄)ㅇ (주요내용) 청년활동 프로그램 운영 지원ㅇ (전달체계) 부산시→기초지자체 및 민간 컨소시엄,참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례 (18~39세)*자치구군 조례에 따를 수 있음,혼합형,부산광역시 청년 기본 조례,100
청년 해외취업 지원사업(해외박람회),ㅇ (목적) 지역청년의 글로벌 역량강화 및 채용기회 제공ㅇ (대상) 해외취업에 관심있는 청년ㅇ (주요내용) 해외취업박람회·박람회 개최 ㅇ (전달체계) 부산시→부산경제진흥원(공공기관 위탁),일자리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산시 청년기본조례(19~39),서비스지원,부산광역시 청년일자리 창출 지원 조례 제6조,60
청년고용 우수기업 인증‧지원,"ㅇ (목적) 청끌기업 대상, 청년고용증대에 기여한 기업을 '청년고용우수기업'으로 선정, 신규 일자리 확대 및 지역경제 활성화 도모ㅇ (대상) 청끌기업 100개사 중 3개사 선정, 지원 ㅇ (주요내용) 청년고용우수기업 인증서 교부, 지역 우수기업(인) 인증    지정, 청년 채용 좋은일터 강화 지원 등ㅇ (전달체계) 부산시→부산경제진흥원",일자리,학생여부무관,소득무관,무관,무관,취창업무관,연령구분,부산광역시청년기본조례(18~39),혼합형,부산광역시 청년일자리 창출 지원 조례,120
청년농업인 영농정착 지원,"ㅇ (목적) 청년후계농 영농정착을 통한 농업인력 구조개선ㅇ (대상) 만18세~만40세, 영농경력 3년 이하ㅇ (주요내용) 영농연수에 따른 영농정착금 지원ㅇ (전달체계) 농림축산식품부→부산시→기초지자체",일자리,학생여부무관,저소득,무관,무관,예비창업청년,연령구분,18세~40세,혼합형,"농어업경영체 육성 및 지원에 관한법률 제8조, 제13조",515
청년도시재생사 양성 사업,ㅇ (목적) 도시재생 전문인력 양성 통한 지역활성화 및 일자리 연계ㅇ (대상) 사업 참여 대학 재학생ㅇ (주요내용) 지역대학 연계 체계적·실전형 도시재생 전문인력 양성ㅇ (전달체계) 일반과정운영(대학)→심화과정운영(공사)→청년도시재생사인증(부산시),교육,학생,소득무관,무관,무관,취업준비,연령무관,연령무관,서비스지원,부산광역시 도시재생 활성화 및 지원에 관한 조례 제20조의2,86
청년도전 지원사업,"ㅇ (목적) 구직단념 청년들의 구직의욕 고취, 노동시장 참여 및 취업 촉진 지원ㅇ (대상) 구직단념청년 등ㅇ (주요내용) 1:1 밀착상담, 자신감 회복, 진로탐색, 취업역량강화, 지역맞춤형 프로그램 등을 통해 구직단념청년의 원활한 사회활동 및 노동시장 참여 지원ㅇ (전달체계) 부산시→부산경제진흥원 (공기관위탁)",일자리,비학생,소득무관,무관,무관,취업준비,청년연령,청년기본법(19~34),서비스지원,"청년고용촉진특별법, 고용정책기본법",1372
청년두드림센터 운영,"ㅇ (목적) 청년일자리 심층상담, 취업역량강화 프로그램 운영 등을    통한 청년구직 지원 및 취업률 제고ㅇ (대상) 부산지역 청년ㅇ (주요내용) 청년공간 운영, 청년 구직단계별 지원, 청년일자리    생태계 조성 등ㅇ (전달체계) 부산시→부산경제진흥원",일자리,학생여부무관,소득무관,무관,무관,취업준비,연령구분,부산광역시청년기본조례(18~39),서비스지원,부산광역시 청년일자리 창출 지원 조례,500
청년마음건강지원사업(바우처),"ㅇ (목적) 심리적지지 기반이 약하고, 정신건강 상담건수도 급격히 증가하는 20·30대에게 정신건강 바우처 지원으로 청년의 정서적 활력 제고ㅇ (대상) 만 19세 이상 34세 이하 청년층ㅇ (주요내용) 3개월간 10회의 전문적인 심리지원 서비스 지원ㅇ (전달체계) 서비스 신청 접수(읍면동) → 상담 및 욕구조사(읍면동) → 이용자 선정(구군) → 서비스 계약 및 실시(제공기관↔이용자)",복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,청년기본법(19~34),서비스지원,사회서비스이용 및 이용권 관리에 관한 법률,466
청년만원문화패스 사업,"ㅇ (목적) 청년이 원하는 양질의 공연을 저렴한 가격에 제공함    으로써 지역청년의 문화향유기회 확대 및 공연문화 활성화ㅇ (대상) 부산지역 청년 5,000명ㅇ (주요내용) 지역 우수 문화공연을 1만원에 관람할 수 있도록    지원 ㅇ (전달체계) 부산시→부산경제진흥원",복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시 청년 기본 조례부산광역시 청년문화예술 육성 및 지원조례,700
청년문화 축제 개최,ㅇ (목적) 청년예술가에게 공연기회 제공 및 청년들에게 즐길거리 제공ㅇ (대상) 부산지역 청년ㅇ (주요내용) 부산 댄스 페스티벌 개최ㅇ (전달체계)부산시→ 민간행사보조사업자(공모),복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),서비스지원,부산광역시청년기본조례,440
청년문화육성지원 사업,"ㅇ (목적) 지역 청년예술인 성장역량강화 및 정착지원 ㅇ (대상) 부산지역 청년예술가ㅇ (주요내용) 청년예술가 창작지원,청년연출가 자율기획         청년예술작품 구독, 아트페어, 국제교류, 기업협력형    창작활동 지원, 민락인디트레이닝센터 운영 등                       ㅇ (전달체계) 부산시→부산문화재단",복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),혼합형,부산광역시 청년 기본 조례부산광역시 청년문화예술 육성 및 지원조례,900
청년사회서비스사업단 운영,ㅇ (목적) 청년층의 건강개선 및 청년일자리 창출ㅇ (대상) 지역청년(만 19세 이상 34세 이하)ㅇ (주요내용) 청년층 신체‧정신건강 분야 프로그램 개발·지원ㅇ (전달체계) 사업 공고(보건복지부) → 계획서 제출(참여 대상기관) → 사업단 선정(보건복지부) → 사업협약(시↔선정기관) → 청년 채용 및 교육·사업 시행(선정기관) ,복지문화,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,청년기본법(19~34),서비스지원,사회서비스이용 및 이용권 관리에 관한 법률,121
청년월세 한시 특별지원,ㅇ (목적) 부산 청년의 주거생활 안정과 주거독립 지원으로 지역정주 유도ㅇ (대상) 부산지역 만 19~34세 부모님과 별도 거주 무주택 청년   (보증금 월세 환산액과 월세 환산액 합산 70만원 이하)ㅇ (주요내용) 월 최대 20만원 이내 12개월 월세 지원(최대 240만원),주거,학생여부무관,저소득,취약계층,저소득,취창업무관,청년연령,청년기본법(19~34),현금성지원,"｢주거기본법｣ 제15조(주거비 보조), ｢청년기본법｣ 제20조(청년 주거지원)",4305
청년정책 홍보 ,"ㅇ (목적) 청년 눈높이에 맞는 다양한 청년정책 홍보 추진ㅇ (대상) 모든 청년ㅇ (주요내용) 부산청년플랫폼, SNS 홍보, 맞춤형 정보 제공, 찾아가는 홍보 등ㅇ (전달체계) 직접사업",참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,부산광역시청년기본조례(18~39),서비스지원,부산광역시 청년기본 조례,130
청년취업 정장 대여서비스 지원,"ㅇ (목적) 구직활동으로 어려움을 겪고 있는 청년들에게 면접시 정장구입 부담을 덜어주어, 자신감을 가지고 성공취업 지원ㅇ (대상) 청년 (만15세~39세) 누구나ㅇ (주요내용) 청년구직자 입사면접용 정장 무료 대여 및 코디컨설팅ㅇ (전달체계) 정장대여점 공모, 모집, 지원, 정산",일자리,비학생,소득무관,무관,무관,취업준비,청년연령,15~39세,서비스지원,청년 일자리 창출 지원 조례,350
청소년쉼터 퇴소청소년 자립지원수당 지원,"ㅇ (목적) 청소년쉼터를 퇴소한 청소년의 안정적인 자립기반 마련 지원ㅇ (대상) 청소년쉼터 퇴소 및 자립지원관 사례종료일부터 5년 이내인 자(3년동안 2년이상 보호받은 자, 직전6개월은 연속 보호)ㅇ (주요내용) 쉼터 퇴소 후 5년간 월40만원 자립지원 수당 지급ㅇ (전달체계) 직접사업",주거,학생여부무관,소득무관,무관,후기청소년,취창업무관,청년연령,만18세 이상 청소년쉼터 퇴소 청소년,현금성지원,청소년복지지원법 제16조 및 제32조의3,91
초초기 스타트업 자금지원,"ㅇ (목적)초초기 스타트업 자금지원ㅇ (대상)초초기 지역 스타트업ㅇ (주요내용)초초기 스타트업 투자 자금지원을 위한 펀드운용ㅇ (전달체계)시 출자금 납부, 펀드운용사 지역기업 투자",일자리,학생여부무관,소득무관,무관,무관,예비창업청년,연령무관,연령무관,현금성지원,벤처투자촉진에 관한 법률,887
취업연수생 고용사업 ,"ㅇ (목적) 지역 미취업청년에게 행정 체험을 통한 직장 적응 능력 향상과 취업 자신감을 고취, 청년 실업난 해소 기여ㅇ (대상) 만29세 이하 고졸이상 미취업 청년ㅇ (주요내용) 행정업무 지원, 취업능력배양 등 직장체험기회 제공ㅇ (전달체계) 연수생 모집, 시행",일자리,비학생,소득무관,무관,무관,취업준비,청년연령,만29세이하,혼합형,청년 일자리 창출 지원 조례,1185
클라우드 융합 계약학과 운영 지원,"ㅇ (목적) 산업계 수요 반영 학위과정 운영으로 중소기업 인력유입 촉진ㅇ (대상) 중소/중견기업 재직자ㅇ (주요내용) 클라우드 융합 계약학과 개설·운영ㅇ (전달체계)  - 사업주체 : 부산시, 동서대학교  - 주관부처 : 중소벤처기업부",교육,학생여부무관,소득무관,무관,무관,취업청년,연령무관,연령무관,서비스지원,부산광역시 대학 및 지역인재 육성지원에 관한 조례,252
패션디자인 분야 인력양성 (대학패션페스티벌 개최 지원),ㅇ (목적)지역 패션디자인대학 졸업작품 패션쇼 및 차세대 패션디자이너 육성 및 발굴ㅇ (대상)대학재학생ㅇ (주요내용)대학패션쇼 개최(11회)ㅇ (전달체계)부산시→(사)부산섬유패션산업연합회,교육,학생,소득무관,무관,무관,취업준비,청년연령,연령무관,서비스지원,부산광역시 섬유패션산업 육성 및 지원에 관한 조례,88
패션디자인 분야 인력양성 (부산패션창작 스튜디오 운영),"ㅇ (목적) 지역 섬유패션산업 미래를 이끌어갈 우수 신진    디자이너 발굴 지원ㅇ (대상) 업력 7년 미만 신진 패션 디자이너ㅇ (주요내용) 창작공간 및 창작지원금 지급, 마케팅 지원 등ㅇ (전달체계) 부산시→부산테크노파크(공기관위탁)",교육,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,부산광역시 섬유패션산업 육성 및 지원에 관한 조례,250
프로젝트 기반의 산업별 맞춤형 인재양성,ㅇ (목적) 데이터 전문인력 집중양성ㅇ (대상) 만39세 이하 미취업 청년ㅇ (주요내용) 취업연계형 빅데이터 전문가 인재양성ㅇ (전달체계) 부산시→부산정보산업진흥원,교육,학생여부무관,소득무관,무관,무관,취업준비,연령구분,18세~39세,서비스지원,부산시 빅데이터 활용 및 빅데이터산업 육성에 관한 조례 제13조,500
한아세안프런티어포럼 개최,"ㅇ (목적)대한민국과 아세안 지역의 우수한 대학(원) 학생들이 경제, 정치안보 분야의 전략적 협력 증진 부산을 아시아 리딩 도시로 브랜드화  ㅇ (대상)한아세안 국가 청년ㅇ (주요내용국가별․위원회별 회의 및 한-아세안 모의 정상 회의, 주제별 강의 등ㅇ (전달체계)부산시→(사)아시아교류협회",참여권리,학생여부무관,소득무관,무관,무관,취창업무관,청년연령,만18세~34세,서비스지원,부산광역시 국제교류 협력 촉진에 관한 조례,50
항만물류 전문인력 양성사업 (해운항만물류 전문인력 양성사업),"ㅇ (목적) 해운항만물류산업 수요 환경의 다변화, 복잡화, 국제화 등에 따라 이에 부응하는 미래지향적 전문인력 양성ㅇ (대상) 대학(원)생 및 재직자 등ㅇ (주요내용) 해운항만물류분야 종사자, 대학(원)생 등을 대상으로 관련분야 전문지식 교육 및 인턴십 운영ㅇ (전달체계) 부산광역시->해양대, 동서대, 동명대",교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형,｢물류정책기본법｣ 제50조,827
해양금융 전문인력 양성지원,ㅇ (목적) 금융중심지 조성에 필요한 해양금융 분야 전문인력 양성ㅇ (대상) 해양금융 분야 석사학위 과정 입학생 및 재학생ㅇ (주요내용) 해양·파생금융 분야 석사학위(3학기) 과정 운영지원ㅇ (전달체계) 부산시→한국해양대,교육,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,서비스지원,금융중심지의 조성과 발전에 관한 법률 제10조부산광역시 금융산업 육성에 관한 조례 제9조,460
혁신융합캠퍼스 구축 운영 지원,ㅇ (목적)혁신지구의 기술혁신 및 인재양성 선도혁신거점 구축ㅇ (대상) 한국해양대학교 학생ㅇ (주요내용) 취창업 교육 실시 및 창업 지원 프로그램 운영ㅇ (전달체계) 국토부 -> 부산시 -> 한국해양대학교 -> 학생,교육,학생,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형,｢혁신도시 조성 및 발전에 관한 특별법제45조의2,506
화장품 제조판매 전문인력 양성,"ㅇ (목적) 화장품 전문인력 양성, 신규일자리 창출, 부산 화장품 고급화ㅇ (대상) 화장품산업 종사자 및 미취업 청년, 창업준비자 등ㅇ (주요내용) 화장품 마케팅실무이론, 맞춤형화장품 제조이론 및 실습ㅇ (전달체계)  시→부산테크노파크(공기관위탁사업비)",교육,학생여부무관,소득무관,무관,무관,취창업무관,연령무관,연령무관,혼합형,부산광역시 화장품뷰티산업육성조례,70
